line	0	6	511	71
line	0	94	511	160
line	0	182	511	247
line	0	270	511	335
line	0	358	511	423
line	0	445	511	511
word	0	358	180	423
word	0	271	115	321
word	0	182	133	247
word	0	94	118	160
word	0	17	20	60
word	20	445	165	497
word	46	18	126	70
word	139	271	298	335
word	142	94	164	145
word	153	6	311	71
word	162	182	293	247
word	187	107	283	159
word	189	459	223	497
word	209	371	262	408
word	249	446	372	511
word	289	372	323	409
word	304	95	511	158
word	320	194	354	233
word	323	270	511	335
word	338	18	372	57
word	348	371	488	423
word	378	195	511	247
word	391	6	408	71
word	399	446	511	511
word	438	9	511	57
char	0	370	38	408
char	0	283	35	320
char	0	181	15	247
char	0	106	19	159
char	0	16	21	60
char	18	444	45	496
char	18	194	76	232
char	22	107	79	144
char	37	283	91	320
char	44	18	82	70
char	46	460	83	497
char	46	358	58	408
char	60	370	99	423
char	79	194	134	232
char	83	93	118	144
char	86	18	127	57
char	87	459	124	495
char	93	270	116	321
char	102	371	140	409
char	128	445	166	497
char	137	282	175	334
char	140	94	165	145
char	143	358	181	409
char	151	18	187	57
char	161	182	190	232
char	181	283	237	320
char	185	106	223	159
char	188	458	224	497
char	192	5	231	57
char	193	181	211	247
char	207	370	263	408
char	214	195	254	232
char	226	107	284	144
char	234	18	272	71
char	242	282	277	334
char	247	458	286	511
char	258	181	294	233
char	276	19	311	57
char	280	270	298	335
char	287	371	323	409
char	290	445	329	497
char	302	94	326	145
char	318	195	354	233
char	321	283	378	320
char	329	108	365	158
char	333	458	373	497
char	336	17	373	57
char	346	370	384	423
char	371	106	428	144
char	376	194	412	233
char	380	270	402	321
char	387	371	425	423
char	389	5	409	71
char	398	457	436	510
char	405	284	441	334
char	415	197	450	247
char	429	370	452	408
char	434	107	470	145
char	436	17	492	56
char	441	445	477	496
char	448	270	483	320
char	452	194	489	247
char	454	371	489	409
char	475	106	511	145
char	481	458	511	496
char	485	284	511	335
char	493	195	511	233
char	497	17	511	57
