line	0	6	511	71
line	0	95	511	159
line	0	182	511	247
line	0	270	511	335
line	0	358	511	423
line	0	360	12	363
line	0	448	215	511
word	0	358	221	408
word	0	271	58	320
word	0	182	140	232
word	0	95	409	159
word	0	7	290	71
word	1	360	12	363
word	16	448	215	511
word	80	271	117	319
word	141	285	169	320
word	160	182	219	247
word	192	270	336	335
word	246	358	295	423
word	247	196	275	232
word	299	196	327	232
word	312	21	365	56
word	322	358	349	408
word	350	183	427	247
word	364	272	469	320
word	365	359	511	408
word	386	6	511	71
word	432	109	460	144
word	452	196	483	232
word	483	108	511	144
word	491	284	511	320
word	507	195	511	232
char	0	367	17	411
char	0	266	19	323
char	0	194	12	236
char	0	104	38	147
char	0	17	33	60
char	2	358	7	367
char	4	356	10	365
char	8	355	14	366
char	12	457	71	500
char	13	177	56	235
char	17	368	59	411
char	18	266	60	324
char	33	16	73	59
char	39	104	72	147
char	56	193	89	236
char	59	370	97	411
char	71	455	107	500
char	72	103	106	147
char	73	16	111	75
char	76	266	119	323
char	88	177	109	233
char	97	354	138	412
char	104	90	144	149
char	106	455	147	511
char	109	192	142	235
char	110	16	151	75
char	137	280	171	324
char	138	369	173	412
char	144	107	183	147
char	147	456	189	499
char	151	16	180	60
char	156	191	197	251
char	171	105	176	114
char	174	353	196	409
char	180	15	209	60
char	183	103	224	163
char	188	279	227	339
char	189	443	217	500
char	195	368	223	412
char	196	177	221	251
char	209	2	231	59
char	225	103	257	148
char	227	280	260	321
char	231	16	292	59
char	242	367	273	412
char	243	191	277	236
char	258	104	293	148
char	260	266	282	323
char	272	353	297	427
char	279	282	315	324
char	293	103	336	163
char	295	191	329	236
char	308	16	367	60
char	314	265	338	339
char	318	353	351	412
char	336	90	377	147
char	346	178	388	235
char	360	280	402	323
char	361	368	425	411
char	377	105	411	148
char	382	1	417	59
char	388	192	429	251
char	402	280	444	323
char	410	17	451	75
char	425	354	468	411
char	428	104	462	148
char	443	267	471	324
char	448	191	485	236
char	450	1	490	60
char	466	370	511	412
char	479	103	511	148
char	487	279	511	324
char	490	1	511	59
char	503	190	511	236
