char	0	460	37	496
char	37	445	58	512
char	65	462	102	497
word	0	445	102	512
char	123	460	162	512
char	160	445	182	512
word	123	445	182	512
char	209	446	247	496
char	251	460	281	497
char	283	460	321	512
char	327	460	365	512
word	209	446	365	512
char	387	446	428	496
char	428	462	463	496
char	465	462	500	496
char	499	445	512	512
word	387	445	512	512
line	0	445	512	512
char	0	357	18	407
char	21	371	55	408
char	58	357	96	408
char	100	371	130	407
char	133	357	171	407
char	174	373	211	423
char	213	371	248	423
char	251	371	281	407
char	285	371	319	408
char	321	373	356	407
word	0	356	356	423
char	378	371	416	407
char	419	356	438	407
char	441	371	479	423
char	482	356	501	407
char	503	373	512	407
word	378	356	512	423
line	0	356	512	423
char	0	268	19	318
char	21	268	59	319
word	0	267	59	334
char	82	282	111	319
word	82	282	111	319
char	129	267	150	334
char	159	282	188	319
word	129	267	188	334
char	209	284	246	319
char	248	268	289	318
char	291	282	321	318
char	322	284	376	319
word	209	268	376	319
char	397	282	435	318
word	397	282	435	318
char	457	271	481	319
word	457	271	481	319
char	503	282	512	318
word	503	267	512	334
line	0	267	512	334
char	0	195	33	245
char	34	178	53	229
char	56	193	94	229
char	93	178	115	245
word	0	178	115	245
char	141	193	179	245
word	141	193	179	245
char	202	195	237	229
word	202	195	237	229
char	258	179	277	229
char	280	179	318	229
word	258	179	318	229
char	341	193	371	229
char	374	193	433	229
char	432	178	454	245
char	462	193	487	230
char	491	179	512	230
word	341	178	512	245
line	0	178	512	245
char	0	90	16	140
word	0	89	16	156
char	39	90	80	140
char	80	93	104	141
char	107	104	141	141
char	144	104	169	141
char	174	90	212	141
char	214	106	249	140
char	253	104	291	156
word	39	90	291	156
char	313	104	343	140
char	346	106	384	141
char	387	89	407	140
char	410	104	442	141
char	442	89	464	156
char	470	106	512	141
word	313	89	512	156
line	0	89	512	156
char	0	15	27	52
word	0	15	27	52
char	50	15	79	52
char	82	15	120	67
char	125	15	158	52
char	163	15	192	52
char	194	17	231	67
char	234	15	293	51
char	295	1	315	51
char	316	17	352	51
char	354	4	377	52
word	50	1	377	67
char	399	15	432	52
char	437	15	471	67
char	474	15	512	51
word	399	1	512	67
line	0	1	512	67
