char	0	460	9	496
word	0	445	9	512
char	31	445	69	496
char	71	461	108	496
word	31	445	108	496
char	130	460	169	512
char	172	460	203	496
word	130	460	203	512
char	224	460	257	496
char	262	460	297	496
char	300	460	333	496
word	224	460	333	496
char	352	445	374	512
char	383	460	421	512
word	352	445	421	512
char	444	460	474	496
char	476	461	512	496
word	444	445	512	512
line	0	445	512	512
char	0	355	37	406
char	39	355	59	406
char	62	370	121	406
char	125	355	166	406
char	168	370	198	406
char	201	371	239	406
char	244	370	278	422
char	280	371	317	422
char	320	355	359	406
word	0	355	359	422
char	382	370	416	406
word	382	370	416	406
char	439	370	468	406
char	472	370	507	422
char	510	355	512	406
word	439	355	512	422
line	0	355	512	422
char	0	280	39	332
char	42	265	81	316
word	0	265	81	332
char	104	280	164	316
char	166	268	190	316
char	193	280	226	316
char	231	265	260	316
char	256	268	279	316
char	282	281	320	316
char	323	281	359	316
char	362	280	395	316
char	399	265	419	316
char	422	280	460	332
char	463	281	498	316
char	500	265	512	316
word	104	265	512	332
line	0	265	512	332
char	0	190	17	226
char	21	190	60	226
char	64	190	94	226
word	0	175	94	242
char	115	190	145	226
char	149	190	187	226
char	191	175	232	226
char	232	191	286	226
char	288	178	312	226
char	314	191	352	226
char	356	175	375	226
char	379	190	413	226
char	415	190	453	242
char	459	190	494	242
char	497	175	512	226
word	115	174	512	242
line	0	175	512	242
char	0	100	14	136
char	17	85	55	136
word	0	84	55	152
line	0	85	55	136
char	0	11	15	62
word	0	0	15	62
char	36	10	61	46
word	36	10	61	46
char	83	11	120	62
word	83	11	120	62
char	142	10	176	62
word	142	10	176	62
char	198	0	221	46
char	224	0	263	46
char	267	10	300	46
char	304	0	343	46
char	346	0	365	46
char	367	0	387	46
char	390	10	423	46
char	428	0	466	46
word	198	0	466	46
char	489	10	512	62
word	489	10	512	62
line	0	0	512	62
